time	CC	CCPT	CLK	PDP	PER	PT	TIM	VRI	clkm	clkp	pdpm	pdpp	perm	perp	prcpdp	prcper	prct	prcv	prpc	prvc	timm	timp	vrim	vrip
48.0.96.0	0.45563189944512106	0.507118655311879	3.633333865263163	4.220451074013773	2.810320421252387	0.49940778637519806	2.810320421252386	3.195656256505029	0.25802441819196104	0.003185	0.319487148673661	0.003185	0.24124183821779602	0.003185	0.076806535465442	0.038224025838479	0.038224025838479	0.051569126379654	0.425948576265458	0.48952578153844506	0.24124183821779602	0.003185	0.258186125686441	0.003185
49.0.68.0	0.8930805482649341	0.48044861668222705	3.793903557443154	4.17590387789905	2.656057400481118	0.24138114358206703	2.656057400481118	3.117249876376251	0.261375758642794	0.003185	0.31508715543652804	0.003185	0.23764001556759	0.003185	0.094746035827902	0.060160324176871005	0.060160324176871005	0.08262990899528201	0.430168719139278	0.48387252324171803	0.23764001556759	0.003185	0.254465866501609	0.003185
50.0.4.0	1.4759049084170601	0.46627803127886003	4.0150532359960724	4.131846171759055	2.59156558985847	0.142060501821919	2.591565589858469	3.077983432705665	0.264303785093345	0.003185	0.31294625459422704	0.003185	0.237058031683048	0.003185	0.12991767886187602	0.099308575068404	0.099308575068404	0.13677994991993	0.43301766548553405	0.48004851267465803	0.237058031683048	0.003185	0.255797839470346	0.003185
51.0.12.0	2.050908475573922	0.46692666992055504	4.25167455728303	4.091597301165999	2.5822100084637523	0.102534172942846	2.582210008463751	3.09529773619295	0.266548819811309	0.003185	0.313696852147055	0.003185	0.24024573047183803	0.003185	0.18049837017185802	0.15247977974002	0.15247977974002	0.20797764601211402	0.433666777213072	0.47918998193465	0.24024573047183803	0.003185	0.263150409605937	0.003185
51.0.839999999999996.0	2.52217035792413	0.477643244342668	4.458746602836971	4.05837049911867	2.606403211788492	0.085377985107824	2.606403211788493	3.175900651696795	0.267752724401051	0.003185	0.31710757050793303	0.003185	0.24692275492967802	0.003185	0.23958320503681801	0.211465133636199	0.211465133636199	0.28364744462310604	0.43134252393218403	0.482222429593457	0.24692275492967802	0.003185	0.275712468136855	0.003185
52.0.559999999999995.0	2.828433339550469	0.495203001667456	4.603804911166836	4.034332237963538	2.651821962594256	0.078979005945294	2.651821962594257	3.312422743578486	0.26757317777252304	0.003185	0.32240274530282104	0.003185	0.256151860215863	0.003185	0.299101941567055	0.26768259841396	0.26768259841396	0.352122079138174	0.42582555690533	0.48926219278418903	0.256151860215863	0.003185	0.29173661411038004	0.003185
53.0.28.0	2.93243321608095	0.5168649326803091	4.665506791610823	4.020362645510416	2.709595007069319	0.079528958761664	2.709595007069319	3.489401014480041	0.26583401211219204	0.003185	0.328768162968797	0.003185	0.266910569098506	0.003185	0.352154721889308	0.31449481104368904	0.31449481104368904	0.40579406186121003	0.417601521603626	0.49956022497874	0.266910569098506	0.003185	0.309541694784203	0.003185
54.0.	2.8173161468780332	0.5403735905915801	4.63318903785731	4.016339495176743	2.7738550479307102	0.086541994638585	2.7738550479307102	3.690458496091053	0.2625992338859	0.003185	0.33560436586220405	0.003185	0.278388518501756	0.003185	0.39394934027836703	0.347776485140149	0.347776485140149	0.44112468007097405	0.407599916879248	0.5119094292678	0.278388518501756	0.003185	0.327915782147764	0.003185
54.0.72.0	2.48433563273196	0.563852457455301	4.506002062847838	4.021544432758076	2.841669119992849	0.102383598186341	2.841669119992849	3.902131341590181	0.25813900071958	0.003185	0.34254078068286503	0.003185	0.29002117863131904	0.003185	0.42167056892878	0.36539477895208805	0.36539477895208805	0.45711421456385903	0.396821240011609	0.5250981734028011	0.29002117863131904	0.003185	0.346077736598549	0.003185
55.0.44.0	1.9540002299127521	0.5850954651531151	4.291761040066631	4.034972133779284	2.913309254517203	0.135009617058996	2.913309254517203	4.114493872486355	0.252835630858933	0.003185	0.349360585583173	0.003185	0.30140915200345203	0.003185	0.43383513569097304	0.36633832436274505	0.36633832436274505	0.45363221966141903	0.38609264371653	0.538164764885076	0.30140915200345203	0.003185	0.36349996175069504	0.003185
